Comment,Designator,Footprint,LCSC
RB520S30T1G,D1,Diode_SMD:D_SOD-523,C154821
4.7uF,"C2,C7",Capacitor_SMD:C_0402_1005Metric,C23733
100nF,"C3,C6,C4,C8",Capacitor_SMD:C_0402_1005Metric,C1525
1K,R1,Resistor_SMD:R_0402_1005Metric,C11702
1PPS,LED2,1 My Footprints:LED_0603_1608Metric_SnapModel,C72038
220R,"R6,R5",Resistor_SMD:R_0402_1005Metric,C25091
51R,R4,Resistor_SMD:R_0402_1005Metric,C25125
PWR,LED1,1 My Footprints:LED_0603_1608Metric_SnapModel,C72041
ANT,LED3,1 My Footprints:LED_0603_1608Metric_SnapModel,C72043
33R,"R2,R3",Resistor_SMD:R_0402_1005Metric,C25105
10uF,C5,Capacitor_SMD:C_0402_1005Metric,C15525
CP2102N-A01-GQFN28,U1,QFN28G_0.5-5X5MM,C6568
1uF,C9,Capacitor_SMD:C_0402_1005Metric,C52923
4.7K,R7,Resistor_SMD:R_0402_1005Metric,C25900
